315,0.31,NQRKBRNB
329,0.31,NRQBBKRN
367,0.31,NRKRQNBB
393,0.31,QRNBBNKR
396,0.31,QBRNNKBR
416,0.31,BBRNQNKR
438,0.31,RNBNQBKR
446,0.31,RNNQKBBR
448,0.31,BBRNNKQR
489,0.31,QRNBBKNR
492,0.31,QBRNKNBR
538,0.31,RNKQBBNR
572,0.31,RBNKNRBQ
626,0.31,BRNKQBRN
628,0.31,RBBNKQRN
661,0.31,RNBBKRNQ
711,0.31,RKBQNNRB
725,0.31,RKBBNQNR
734,0.31,RKNQNBBR
740,0.31,RBBKNNQR
755,0.31,BRKNNRQB
786,0.31,BRQKNBRN
825,0.31,RKNBBQRN
830,0.31,RKNQRBBN
901,0.31,RKBBQRNN
920,0.31,RBKRBQNN
922,0.31,RKRQBBNN
937,0.31,RKRBBNQN
948,0.31,RBBKRNNQ
67,0.3,BNNRKQRB
91,0.3,NNRKBRQB
98,0.3,BQNRNBKR
104,0.3,QBNRBNKR
121,0.3,NQRBBNKR
122,0.3,NQRNBBKR
126,0.3,NQRNKBBR
127,0.3,NQRNKRBB
129,0.3,BNRBQNKR
139,0.3,NRQNBKRB
141,0.3,NRQBNKBR
241,0.3,BNRBKQNR
251,0.3,NRKQBNRB
267,0.3,NRKNBQRB
339,0.3,BNRKQRNB
395,0.3,QRNNBKRB
400,0.3,BBRQNNKR
419,0.3,BRNQNKRB
425,0.3,RNQBBNKR
436,0.3,RBBNNQKR
507,0.3,RQNKBNRB
508,0.3,RBQNKNBR
530,0.3,BRNKQBNR
537,0.3,RNKBBQNR
546,0.3,BRNKNBQR
580,0.3,QBBRNKRN
625,0.3,BRNBKQRN
627,0.3,BRNKQRNB
633,0.3,RNKBBQRN
686,0.3,QRKNNBBR
709,0.3,RKBBQNNR
722,0.3,BRKNQBNR
757,0.3,RKBBNNRQ
809,0.3,RKQBBNRN
827,0.3,RKNQBRNB
906,0.3,RKQRBBNN
31,0.29,NQNRKRBB
53,0.29,NNBBRQKR
69,0.29,NNBBRKQR
132,0.29,NBBRQNKR
171,0.29,NRNKBQRB
205,0.29,QNRBKNBR
220,0.29,NBQRKNBR
221,0.29,NQRBKNBR
242,0.29,BNRKQBNR
258,0.29,BNRKNBQR
263,0.29,NRBKNQRB
296,0.29,QBNRBKRN
371,0.29,BNRKRNQB
389,0.29,QRBBNNKR
433,0.29,BRNBNQKR
456,0.29,RBNNBKQR
486,0.29,QRBNKBNR
494,0.29,QRNKNBBR
564,0.29,RBBNKNRQ
575,0.29,RNKNRQBB
582,0.29,QRBNKBRN
610,0.29,BRNQKBRN
685,0.29,QRKBNNBR
690,0.29,BRQKNBNR
726,0.29,RKBNQBNR
767,0.29,RKNNRQBB
798,0.29,RQKNRBBN
890,0.29,RQKRBBNN
892,0.29,RBQKRNBN
914,0.29,BRKRQBNN
932,0.29,RBBKRNQN
942,0.29,RKRNQBBN
3,0.28,BQNNRKRB
134,0.28,NRBQNBKR
137,0.28,NRQBBNKR
155,0.28,NRNQBKRB
197,0.28,QNBBRKNR
215,0.28,NQBRKNRB
224,0.28,BBNRQKNR
270,0.28,NRKNQBBR
291,0.28,BQNRKRNB
307,0.28,BNQRKRNB
437,0.28,RNBBNQKR
455,0.28,RNBNKQRB
466,0.28,BRNNKBRQ
481,0.28,BQRBNKNR
491,0.28,QRNKBNRB
495,0.28,QRNKNRBB
597,0.28,RQBBNKRN
640,0.28,BBRNKRQN
651,0.28,RNKRBQNB
669,0.28,RNKBRNBQ
727,0.28,RKBNQNRB
763,0.28,RKNNBRQB
841,0.28,RKNBBRQN
866,0.28,BQRKRBNN
884,0.28,RBBQKRNN
953,0.28,RKRBBNNQ
14,0.27,QNNRKBBR
54,0.27,NNBRQBKR
108,0.27,QBNRNKBR
124,0.27,NBQRNKBR
156,0.27,NBRNQKBR
206,0.27,QNRKNBBR
297,0.27,QNRBBKRN
351,0.27,NRKQRNBB
405,0.27,RQBBNNKR
407,0.27,RQBNNKRB
412,0.27,RBQNNKBR
417,0.27,BRNBQNKR
427,0.27,RNQNBKRB
453,0.27,RNBBNKQR
512,0.27,BBRNQKNR
519,0.27,RNBQKNRB
569,0.27,RNKBBNRQ
614,0.27,RNBQKBRN
720,0.27,BBRKNQNR
743,0.27,RKBNNQRB
750,0.27,RKNNQBBR
778,0.27,QRKNBBRN
780,0.27,QBRKNRBN
791,0.27,RQBKNRNB
797,0.27,RQKBNRBN
802,0.27,BRKQNBRN
823,0.27,RKBNQRNB
832,0.27,BBRKNRQN
840,0.27,RBKNBRQN
847,0.27,RKNRQNBB
858,0.27,RKNRBBNQ
912,0.27,BBRKRQNN
925,0.27,RKRBQNBN
930,0.27,BRKRNBQN
5,0.26,QNBBNRKR
7,0.26,QNBNRKRB
15,0.26,QNNRKRBB
17,0.26,BNQBNRKR
34,0.26,BNNQRBKR
39,0.26,NNBQRKRB
52,0.26,NBBNRQKR
160,0.26,BBNRNKQR
168,0.26,NBRNBKQR
243,0.26,BNRKQNRB
323,0.26,BNRQKRNB
372,0.26,NBBRKRNQ
397,0.26,QRNBNKBR
401,0.26,BRQBNNKR
428,0.26,RBNQNKBR
440,0.26,RBNNBQKR
443,0.26,RNNQBKRB
452,0.26,RBBNNKQR
469,0.26,RNBBNKRQ
475,0.26,RNNKBRQB
493,0.26,QRNBKNBR
499,0.26,BRQNKNRB
505,0.26,RQNBBKNR
542,0.26,RNKQNBBR
547,0.26,BRNKNQRB
606,0.26,RQNKRBBN
611,0.26,BRNQKRNB
672,0.26,BBQRKNNR
682,0.26,QRKNBBNR
689,0.26,BRQBKNNR
713,0.26,RKQBBNNR
739,0.26,BRKNNQRB
746,0.26,RKNNBBQR
762,0.26,RKNNBBRQ
770,0.26,BQRKNBRN
789,0.26,RQBBKNRN
795,0.26,RQKNBRNB
806,0.26,RKBQNBRN
822,0.26,RKBNQBRN
859,0.26,RKNRBNQB
889,0.26,RQKBBRNN
894,0.26,RQKRNBBN
931,0.26,BRKRNQNB
939,0.26,RKRNBQNB
959,0.26,RKRNNQBB
48,0.25,BBNNRQKR
103,0.25,QNBRNKRB
115,0.25,BNQRNKRB
116,0.25,NBBQRNKR
125,0.25,NQRBNKBR
154,0.25,NRNQBBKR
157,0.25,NRNBQKBR
167,0.25,NRBNKQRB
209,0.25,BNQBRKNR
211,0.25,BNQRKNRB
304,0.25,BBNQRKRN
319,0.25,NQRKRNBB
345,0.25,NRKBBQRN
402,0.25,BRQNNBKR
406,0.25,RQBNNBKR
409,0.25,RQNBBNKR
422,0.25,RNBQNBKR
429,0.25,RNQBNKBR
431,0.25,RNQNKRBB
445,0.25,RNNBQKBR
496,0.25,BBRQNKNR
540,0.25,RBNKQNBR
558,0.25,RNKNQBBR
623,0.25,RNQKRNBB
647,0.25,RNBKRQNB
652,0.25,RBNKRQBN
662,0.25,RNBKRBNQ
771,0.25,BQRKNRNB
